Train: [1][10/105]	BT 0.207 (3.191)	DT 0.000 (0.958)	loss 4.844 (4.926)
Train: [1][20/105]	BT 0.206 (1.698)	DT 0.000 (0.479)	loss 4.844 (4.885)
Train: [1][30/105]	BT 0.207 (1.200)	DT 0.000 (0.319)	loss 4.844 (4.872)
Train: [1][40/105]	BT 0.206 (1.002)	DT 0.000 (0.295)	loss 4.844 (4.865)
Train: [1][50/105]	BT 0.206 (0.905)	DT 0.000 (0.298)	loss 4.844 (4.861)
Train: [1][60/105]	BT 2.944 (0.894)	DT 2.741 (0.355)	loss 4.844 (4.858)
Train: [1][70/105]	BT 0.207 (0.872)	DT 0.000 (0.381)	loss 4.844 (4.856)
Train: [1][80/105]	BT 0.203 (0.807)	DT 0.000 (0.352)	loss 4.844 (4.854)
Train: [1][90/105]	BT 0.204 (0.775)	DT 0.000 (0.347)	loss 4.844 (4.853)
Train: [1][100/105]	BT 0.204 (0.717)	DT 0.000 (0.313)	loss 4.844 (4.852)
Train epoch 1, total time 89.68, loss 4.849
Train: [2][10/105]	BT 0.200 (0.295)	DT 0.000 (0.090)	loss 4.844 (4.844)
Train: [2][20/105]	BT 0.200 (0.250)	DT 0.000 (0.045)	loss 4.844 (4.844)
Train: [2][30/105]	BT 0.200 (0.235)	DT 0.000 (0.030)	loss 4.844 (4.844)
Train: [2][40/105]	BT 0.202 (0.227)	DT 0.000 (0.023)	loss 4.844 (4.844)
Train: [2][50/105]	BT 0.206 (0.223)	DT 0.000 (0.018)	loss 4.844 (4.844)
Train: [2][60/105]	BT 0.206 (0.220)	DT 0.000 (0.015)	loss 4.844 (4.844)
Train: [2][70/105]	BT 0.207 (0.215)	DT 0.000 (0.013)	loss 4.844 (4.844)
Train: [2][80/105]	BT 0.206 (0.214)	DT 0.000 (0.011)	loss 4.844 (4.844)
Train: [2][90/105]	BT 0.206 (0.213)	DT 0.000 (0.010)	loss 4.844 (4.844)
Train: [2][100/105]	BT 0.204 (0.212)	DT 0.000 (0.009)	loss 4.844 (4.844)
Train epoch 2, total time 22.09, loss 4.841
Train: [3][10/105]	BT 0.199 (0.365)	DT 0.000 (0.162)	loss 4.844 (4.844)
Train: [3][20/105]	BT 0.204 (0.285)	DT 0.000 (0.081)	loss 4.844 (4.844)
Train: [3][30/105]	BT 0.204 (0.258)	DT 0.000 (0.054)	loss 4.844 (4.844)
Train: [3][40/105]	BT 0.203 (0.245)	DT 0.000 (0.041)	loss 4.844 (4.844)
Train: [3][50/105]	BT 0.202 (0.237)	DT 0.000 (0.033)	loss 4.844 (4.844)
Train: [3][60/105]	BT 0.206 (0.231)	DT 0.000 (0.027)	loss 4.844 (4.844)
Train: [3][70/105]	BT 0.206 (0.227)	DT 0.000 (0.023)	loss 4.844 (4.844)
Train: [3][80/105]	BT 0.207 (0.223)	DT 0.000 (0.020)	loss 4.844 (4.844)
Train: [3][90/105]	BT 0.200 (0.220)	DT 0.000 (0.018)	loss 4.844 (4.844)
Train: [3][100/105]	BT 0.200 (0.219)	DT 0.000 (0.016)	loss 4.843 (4.844)
Train epoch 3, total time 22.78, loss 4.841
Train: [4][10/105]	BT 0.204 (0.312)	DT 0.000 (0.108)	loss 4.844 (4.844)
Train: [4][20/105]	BT 0.204 (0.258)	DT 0.000 (0.054)	loss 4.844 (4.844)
Train: [4][30/105]	BT 0.203 (0.240)	DT 0.000 (0.036)	loss 4.843 (4.844)
Train: [4][40/105]	BT 0.205 (0.231)	DT 0.000 (0.027)	loss 4.844 (4.844)
Train: [4][50/105]	BT 0.206 (0.226)	DT 0.000 (0.022)	loss 4.845 (4.844)
