Train: [1][10/1980]	BT 0.207 (2.592)	DT 0.000 (0.379)	loss 4.844 (4.903)
Train: [1][20/1980]	BT 0.204 (1.398)	DT 0.000 (0.189)	loss 4.844 (4.874)
Train: [1][30/1980]	BT 0.204 (1.000)	DT 0.000 (0.126)	loss 4.843 (4.864)
Train: [1][40/1980]	BT 0.196 (0.801)	DT 0.000 (0.095)	loss 4.844 (4.859)
Train: [1][50/1980]	BT 0.204 (0.682)	DT 0.000 (0.076)	loss 4.841 (4.856)
Train: [1][60/1980]	BT 0.204 (0.602)	DT 0.000 (0.063)	loss 4.844 (4.854)
Train: [1][70/1980]	BT 0.203 (0.545)	DT 0.000 (0.054)	loss 4.844 (4.852)
Train: [1][80/1980]	BT 0.206 (0.503)	DT 0.000 (0.047)	loss 4.844 (4.851)
Train: [1][90/1980]	BT 0.205 (0.469)	DT 0.000 (0.042)	loss 4.846 (4.850)
Train: [1][100/1980]	BT 0.206 (0.443)	DT 0.000 (0.038)	loss 4.840 (4.850)
Train: [1][110/1980]	BT 0.207 (0.420)	DT 0.000 (0.035)	loss 4.845 (4.849)
Train: [1][120/1980]	BT 0.207 (0.402)	DT 0.000 (0.032)	loss 4.848 (4.849)
Train: [1][130/1980]	BT 0.203 (0.387)	DT 0.000 (0.029)	loss 4.839 (4.848)
Train: [1][140/1980]	BT 0.200 (0.374)	DT 0.000 (0.027)	loss 4.843 (4.848)
Train: [1][150/1980]	BT 0.197 (0.362)	DT 0.000 (0.025)	loss 4.840 (4.847)
Train: [1][160/1980]	BT 0.200 (0.353)	DT 0.000 (0.024)	loss 4.884 (4.847)
Train: [1][170/1980]	BT 0.200 (0.344)	DT 0.000 (0.022)	loss 4.832 (4.846)
Train: [1][180/1980]	BT 0.200 (0.336)	DT 0.000 (0.021)	loss 4.778 (4.844)
Train: [1][190/1980]	BT 0.206 (0.329)	DT 0.000 (0.020)	loss 4.810 (4.841)
Train: [1][200/1980]	BT 0.206 (0.323)	DT 0.000 (0.019)	loss 4.756 (4.837)
Train: [1][210/1980]	BT 0.204 (0.317)	DT 0.000 (0.018)	loss 4.616 (4.830)
Train: [1][220/1980]	BT 0.204 (0.312)	DT 0.000 (0.017)	loss 4.754 (4.826)
Train: [1][230/1980]	BT 0.206 (0.307)	DT 0.000 (0.017)	loss 4.709 (4.822)
Train: [1][240/1980]	BT 0.207 (0.303)	DT 0.000 (0.016)	loss 4.652 (4.815)
Train: [1][250/1980]	BT 0.205 (0.299)	DT 0.000 (0.015)	loss 4.693 (4.811)
Train: [1][260/1980]	BT 0.204 (0.295)	DT 0.000 (0.015)	loss 4.714 (4.808)
Train: [1][270/1980]	BT 0.201 (0.292)	DT 0.000 (0.014)	loss 4.512 (4.802)
Train: [1][280/1980]	BT 0.204 (0.289)	DT 0.000 (0.014)	loss 4.816 (4.798)
Train: [1][290/1980]	BT 0.203 (0.286)	DT 0.000 (0.013)	loss 4.630 (4.793)
Train: [1][300/1980]	BT 0.204 (0.283)	DT 0.000 (0.013)	loss 4.618 (4.789)
Train: [1][310/1980]	BT 0.202 (0.280)	DT 0.000 (0.012)	loss 4.542 (4.784)
Train: [1][320/1980]	BT 0.206 (0.278)	DT 0.000 (0.012)	loss 4.680 (4.779)
Train: [1][330/1980]	BT 0.205 (0.276)	DT 0.000 (0.012)	loss 4.543 (4.774)
Train: [1][340/1980]	BT 0.206 (0.274)	DT 0.000 (0.011)	loss 4.513 (4.768)
Train: [1][350/1980]	BT 0.206 (0.272)	DT 0.000 (0.011)	loss 4.668 (4.766)
Train: [1][360/1980]	BT 0.206 (0.270)	DT 0.000 (0.011)	loss 4.672 (4.761)
Train: [1][370/1980]	BT 0.195 (0.268)	DT 0.000 (0.010)	loss 4.656 (4.756)
Train: [1][380/1980]	BT 0.200 (0.266)	DT 0.000 (0.010)	loss 4.710 (4.751)
Train: [1][390/1980]	BT 0.200 (0.264)	DT 0.000 (0.010)	loss 4.454 (4.747)
Train: [1][400/1980]	BT 0.199 (0.263)	DT 0.000 (0.010)	loss 4.627 (4.742)
Train: [1][410/1980]	BT 0.206 (0.261)	DT 0.000 (0.009)	loss 4.763 (4.738)
Train: [1][420/1980]	BT 0.202 (0.260)	DT 0.000 (0.009)	loss 4.581 (4.734)
Train: [1][430/1980]	BT 0.205 (0.259)	DT 0.000 (0.009)	loss 4.449 (4.729)
Train: [1][440/1980]	BT 0.206 (0.258)	DT 0.000 (0.009)	loss 4.460 (4.725)
Train: [1][450/1980]	BT 0.206 (0.256)	DT 0.000 (0.009)	loss 4.419 (4.720)
Train: [1][460/1980]	BT 0.206 (0.255)	DT 0.000 (0.008)	loss 4.426 (4.715)
Train: [1][470/1980]	BT 0.207 (0.254)	DT 0.000 (0.008)	loss 4.426 (4.711)
Train: [1][480/1980]	BT 0.207 (0.253)	DT 0.000 (0.008)	loss 4.571 (4.708)
Train: [1][490/1980]	BT 0.207 (0.252)	DT 0.000 (0.008)	loss 4.487 (4.704)
Train: [1][500/1980]	BT 0.204 (0.251)	DT 0.000 (0.008)	loss 4.368 (4.699)
Train: [1][510/1980]	BT 0.204 (0.250)	DT 0.000 (0.008)	loss 4.809 (4.696)
Train: [1][520/1980]	BT 0.203 (0.249)	DT 0.000 (0.007)	loss 4.427 (4.692)
Train: [1][530/1980]	BT 0.203 (0.248)	DT 0.000 (0.007)	loss 4.500 (4.690)
Train: [1][540/1980]	BT 0.206 (0.247)	DT 0.000 (0.007)	loss 4.438 (4.686)
Train: [1][550/1980]	BT 0.206 (0.247)	DT 0.000 (0.007)	loss 4.580 (4.683)
Train: [1][560/1980]	BT 0.206 (0.246)	DT 0.000 (0.007)	loss 4.430 (4.680)
Train: [1][570/1980]	BT 0.206 (0.245)	DT 0.000 (0.007)	loss 4.440 (4.677)
Train: [1][580/1980]	BT 0.206 (0.244)	DT 0.000 (0.007)	loss 4.733 (4.673)
Train: [1][590/1980]	BT 0.206 (0.244)	DT 0.000 (0.007)	loss 4.494 (4.671)
Train: [1][600/1980]	BT 0.206 (0.243)	DT 0.000 (0.006)	loss 4.721 (4.669)
Train: [1][610/1980]	BT 0.207 (0.242)	DT 0.000 (0.006)	loss 4.596 (4.666)
Train: [1][620/1980]	BT 0.203 (0.242)	DT 0.000 (0.006)	loss 4.307 (4.661)
Train: [1][630/1980]	BT 0.200 (0.241)	DT 0.000 (0.006)	loss 4.469 (4.659)
Train: [1][640/1980]	BT 0.200 (0.240)	DT 0.000 (0.006)	loss 4.519 (4.655)
Train: [1][650/1980]	BT 0.200 (0.240)	DT 0.000 (0.006)	loss 4.505 (4.652)
Train: [1][660/1980]	BT 0.206 (0.239)	DT 0.000 (0.006)	loss 4.336 (4.649)
Train: [1][670/1980]	BT 0.206 (0.239)	DT 0.000 (0.006)	loss 4.555 (4.646)
Train: [1][680/1980]	BT 0.205 (0.238)	DT 0.000 (0.006)	loss 4.474 (4.643)
Train: [1][690/1980]	BT 0.205 (0.238)	DT 0.000 (0.006)	loss 4.626 (4.640)
Train: [1][700/1980]	BT 0.206 (0.237)	DT 0.000 (0.006)	loss 4.387 (4.636)
Train: [1][710/1980]	BT 0.206 (0.237)	DT 0.000 (0.005)	loss 4.495 (4.633)
Train: [1][720/1980]	BT 0.206 (0.236)	DT 0.000 (0.005)	loss 4.357 (4.630)
Train: [1][730/1980]	BT 0.207 (0.236)	DT 0.000 (0.005)	loss 4.294 (4.626)
Train: [1][740/1980]	BT 0.207 (0.236)	DT 0.000 (0.005)	loss 4.493 (4.623)
Train: [1][750/1980]	BT 0.207 (0.235)	DT 0.000 (0.005)	loss 4.416 (4.622)
