Train: [1][10/1980]	BT 0.204 (2.350)	DT 0.000 (0.084)	loss 4.844 (4.902)
Train: [1][20/1980]	BT 0.206 (1.277)	DT 0.000 (0.042)	loss 4.844 (4.873)
Train: [1][30/1980]	BT 0.206 (0.920)	DT 0.000 (0.028)	loss 4.844 (4.863)
Train: [1][40/1980]	BT 0.205 (0.741)	DT 0.000 (0.021)	loss 4.844 (4.859)
Train: [1][50/1980]	BT 0.207 (0.634)	DT 0.000 (0.017)	loss 4.842 (4.855)
Train: [1][60/1980]	BT 0.207 (0.562)	DT 0.000 (0.014)	loss 4.844 (4.853)
Train: [1][70/1980]	BT 0.204 (0.511)	DT 0.000 (0.012)	loss 4.843 (4.852)
Train: [1][80/1980]	BT 0.204 (0.473)	DT 0.000 (0.011)	loss 4.837 (4.851)
Train: [1][90/1980]	BT 0.201 (0.443)	DT 0.000 (0.009)	loss 4.842 (4.850)
Train: [1][100/1980]	BT 0.204 (0.419)	DT 0.000 (0.008)	loss 4.834 (4.849)
Train: [1][110/1980]	BT 0.204 (0.400)	DT 0.000 (0.008)	loss 4.833 (4.848)
Train: [1][120/1980]	BT 0.203 (0.383)	DT 0.000 (0.007)	loss 4.816 (4.846)
Train: [1][130/1980]	BT 0.207 (0.368)	DT 0.000 (0.007)	loss 4.816 (4.843)
Train: [1][140/1980]	BT 0.206 (0.357)	DT 0.000 (0.006)	loss 4.838 (4.842)
Train: [1][150/1980]	BT 0.207 (0.347)	DT 0.000 (0.006)	loss 4.799 (4.840)
Train: [1][160/1980]	BT 0.207 (0.338)	DT 0.000 (0.005)	loss 4.742 (4.837)
Train: [1][170/1980]	BT 0.207 (0.330)	DT 0.000 (0.005)	loss 4.757 (4.834)
Train: [1][180/1980]	BT 0.203 (0.323)	DT 0.000 (0.005)	loss 4.766 (4.832)
Train: [1][190/1980]	BT 0.203 (0.317)	DT 0.000 (0.005)	loss 4.741 (4.831)
Train: [1][200/1980]	BT 0.198 (0.311)	DT 0.000 (0.004)	loss 4.840 (4.829)
Train: [1][210/1980]	BT 0.203 (0.306)	DT 0.000 (0.004)	loss 4.755 (4.826)
Train: [1][220/1980]	BT 0.202 (0.301)	DT 0.000 (0.004)	loss 4.717 (4.824)
Train: [1][230/1980]	BT 0.206 (0.297)	DT 0.000 (0.004)	loss 4.707 (4.820)
Train: [1][240/1980]	BT 0.204 (0.293)	DT 0.000 (0.004)	loss 4.814 (4.817)
Train: [1][250/1980]	BT 0.204 (0.290)	DT 0.000 (0.003)	loss 4.746 (4.815)
Train: [1][260/1980]	BT 0.140 (0.286)	DT 0.000 (0.003)	loss 4.797 (4.814)
Train: [1][270/1980]	BT 0.207 (0.283)	DT 0.000 (0.003)	loss 4.787 (4.812)
Train: [1][280/1980]	BT 0.204 (0.280)	DT 0.000 (0.003)	loss 4.762 (4.810)
Train: [1][290/1980]	BT 0.202 (0.277)	DT 0.000 (0.003)	loss 4.796 (4.807)
Train: [1][300/1980]	BT 0.203 (0.275)	DT 0.000 (0.003)	loss 4.786 (4.806)
Train: [1][310/1980]	BT 0.203 (0.273)	DT 0.000 (0.003)	loss 4.723 (4.804)
Train: [1][320/1980]	BT 0.204 (0.271)	DT 0.000 (0.003)	loss 4.793 (4.803)
Train: [1][330/1980]	BT 0.203 (0.269)	DT 0.000 (0.003)	loss 4.845 (4.802)
Train: [1][340/1980]	BT 0.206 (0.267)	DT 0.000 (0.003)	loss 4.654 (4.801)
Train: [1][350/1980]	BT 0.206 (0.265)	DT 0.000 (0.003)	loss 4.744 (4.799)
Train: [1][360/1980]	BT 0.206 (0.263)	DT 0.000 (0.002)	loss 4.707 (4.797)
