pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|█████████████████████████| 53/53 [00:42<00:00,  1.25it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.63it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126492 number of indices sampled from imagenet.
new epoch: 2
Train: [1][10/1041]	BT 0.196 (3.377)	DT 0.000 (0.236)	loss 5.541 (5.613)
Train: [1][20/1041]	BT 0.196 (1.787)	DT 0.000 (0.118)	loss 5.541 (5.577)
Train: [1][30/1041]	BT 0.196 (1.256)	DT 0.000 (0.079)	loss 5.541 (5.565)
Train: [1][40/1041]	BT 0.196 (0.991)	DT 0.000 (0.059)	loss 5.541 (5.559)
Train: [1][50/1041]	BT 0.196 (0.832)	DT 0.000 (0.047)	loss 5.541 (5.556)
Train: [1][60/1041]	BT 0.196 (0.726)	DT 0.000 (0.039)	loss 5.541 (5.553)
Train: [1][70/1041]	BT 0.196 (0.650)	DT 0.000 (0.034)	loss 5.541 (5.552)
Train: [1][80/1041]	BT 0.196 (0.594)	DT 0.000 (0.030)	loss 5.541 (5.550)
Train: [1][90/1041]	BT 0.196 (0.549)	DT 0.000 (0.026)	loss 5.541 (5.549)
Train: [1][100/1041]	BT 0.196 (0.514)	DT 0.000 (0.024)	loss 5.541 (5.548)
Train: [1][110/1041]	BT 0.197 (0.485)	DT 0.000 (0.022)	loss 5.541 (5.548)
Train: [1][120/1041]	BT 0.196 (0.461)	DT 0.000 (0.020)	loss 5.541 (5.547)
Train: [1][130/1041]	BT 0.196 (0.441)	DT 0.000 (0.018)	loss 5.541 (5.547)
Train: [1][140/1041]	BT 0.196 (0.423)	DT 0.000 (0.017)	loss 5.541 (5.546)
Train: [1][150/1041]	BT 0.201 (0.408)	DT 0.000 (0.016)	loss 5.541 (5.546)
Train: [1][160/1041]	BT 0.199 (0.395)	DT 0.000 (0.015)	loss 5.541 (5.546)
Train: [1][170/1041]	BT 0.200 (0.384)	DT 0.000 (0.014)	loss 5.541 (5.545)
Train: [1][180/1041]	BT 0.201 (0.373)	DT 0.000 (0.013)	loss 5.541 (5.545)
Train: [1][190/1041]	BT 0.198 (0.364)	DT 0.000 (0.013)	loss 5.541 (5.545)
Train: [1][200/1041]	BT 0.196 (0.356)	DT 0.000 (0.012)	loss 5.541 (5.545)
Train: [1][210/1041]	BT 0.196 (0.348)	DT 0.000 (0.011)	loss 5.541 (5.545)
Train: [1][220/1041]	BT 0.196 (0.341)	DT 0.000 (0.011)	loss 5.541 (5.544)
Train: [1][230/1041]	BT 0.196 (0.335)	DT 0.000 (0.010)	loss 5.541 (5.544)
Train: [1][240/1041]	BT 0.197 (0.329)	DT 0.000 (0.010)	loss 5.541 (5.544)
Train: [1][250/1041]	BT 0.196 (0.324)	DT 0.000 (0.010)	loss 5.541 (5.544)
Train: [1][260/1041]	BT 0.196 (0.319)	DT 0.000 (0.009)	loss 5.540 (5.544)
Train: [1][270/1041]	BT 0.196 (0.314)	DT 0.000 (0.009)	loss 5.541 (5.544)
Train: [1][280/1041]	BT 0.196 (0.310)	DT 0.000 (0.009)	loss 5.540 (5.544)
Train: [1][290/1041]	BT 0.196 (0.306)	DT 0.000 (0.008)	loss 5.540 (5.544)
Train: [1][300/1041]	BT 0.196 (0.302)	DT 0.000 (0.008)	loss 5.539 (5.543)
Train: [1][310/1041]	BT 0.196 (0.299)	DT 0.000 (0.008)	loss 5.533 (5.543)
Train: [1][320/1041]	BT 0.196 (0.296)	DT 0.000 (0.008)	loss 5.527 (5.543)
Train: [1][330/1041]	BT 0.196 (0.293)	DT 0.000 (0.007)	loss 5.522 (5.542)
Train: [1][340/1041]	BT 0.196 (0.290)	DT 0.000 (0.007)	loss 5.501 (5.541)
Train: [1][350/1041]	BT 0.196 (0.287)	DT 0.000 (0.007)	loss 5.516 (5.540)
Train: [1][360/1041]	BT 0.198 (0.285)	DT 0.000 (0.007)	loss 5.448 (5.539)
Train: [1][370/1041]	BT 0.199 (0.282)	DT 0.000 (0.007)	loss 5.463 (5.537)
