pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|██████████████████████████████████████████████████| 53/53 [00:38<00:00,  1.38it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:06, 14.87it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126400 number of indices sampled from imagenet.
new epoch: 2
Train: [1][10/1040]	BT 0.196 (2.061)	DT 0.000 (0.105)	loss 5.541 (5.624)
Train: [1][20/1040]	BT 0.196 (1.128)	DT 0.000 (0.053)	loss 5.541 (5.582)
Train: [1][30/1040]	BT 0.196 (0.818)	DT 0.000 (0.035)	loss 5.541 (5.569)
Train: [1][40/1040]	BT 0.197 (0.662)	DT 0.000 (0.026)	loss 5.541 (5.562)
Train: [1][50/1040]	BT 0.198 (0.569)	DT 0.000 (0.021)	loss 5.541 (5.558)
Train: [1][60/1040]	BT 0.197 (0.507)	DT 0.000 (0.018)	loss 5.541 (5.555)
Train: [1][70/1040]	BT 0.197 (0.463)	DT 0.000 (0.015)	loss 5.541 (5.553)
Train: [1][80/1040]	BT 0.198 (0.430)	DT 0.000 (0.013)	loss 5.541 (5.552)
Train: [1][90/1040]	BT 0.196 (0.404)	DT 0.000 (0.012)	loss 5.541 (5.550)
Train: [1][100/1040]	BT 0.196 (0.383)	DT 0.000 (0.011)	loss 5.541 (5.549)
Train: [1][110/1040]	BT 0.196 (0.366)	DT 0.000 (0.010)	loss 5.541 (5.549)
Train: [1][120/1040]	BT 0.196 (0.352)	DT 0.000 (0.009)	loss 5.541 (5.548)
Train: [1][130/1040]	BT 0.196 (0.340)	DT 0.000 (0.008)	loss 5.541 (5.548)
Train: [1][140/1040]	BT 0.196 (0.330)	DT 0.000 (0.008)	loss 5.541 (5.547)
Train: [1][150/1040]	BT 0.196 (0.321)	DT 0.000 (0.007)	loss 5.540 (5.547)
Train: [1][160/1040]	BT 0.196 (0.313)	DT 0.000 (0.007)	loss 5.540 (5.546)
Train: [1][170/1040]	BT 0.196 (0.306)	DT 0.000 (0.006)	loss 5.541 (5.546)
Train: [1][180/1040]	BT 0.196 (0.300)	DT 0.000 (0.006)	loss 5.535 (5.545)
Train: [1][190/1040]	BT 0.196 (0.295)	DT 0.000 (0.006)	loss 5.525 (5.545)
Train: [1][200/1040]	BT 0.196 (0.290)	DT 0.000 (0.005)	loss 5.503 (5.543)
Train: [1][210/1040]	BT 0.196 (0.285)	DT 0.000 (0.005)	loss 5.463 (5.539)
Train: [1][220/1040]	BT 0.196 (0.281)	DT 0.000 (0.005)	loss 5.483 (5.534)
Train: [1][230/1040]	BT 0.197 (0.277)	DT 0.000 (0.005)	loss 5.499 (5.528)
Train: [1][240/1040]	BT 0.196 (0.274)	DT 0.000 (0.005)	loss 5.395 (5.522)
Train: [1][250/1040]	BT 0.196 (0.271)	DT 0.000 (0.004)	loss 5.341 (5.514)
Train: [1][260/1040]	BT 0.198 (0.268)	DT 0.000 (0.004)	loss 5.300 (5.507)
Train: [1][270/1040]	BT 0.198 (0.265)	DT 0.000 (0.004)	loss 5.351 (5.500)
Train: [1][280/1040]	BT 0.198 (0.263)	DT 0.000 (0.004)	loss 5.236 (5.494)
Train: [1][290/1040]	BT 0.199 (0.261)	DT 0.000 (0.004)	loss 5.223 (5.485)
Train: [1][300/1040]	BT 0.196 (0.259)	DT 0.000 (0.004)	loss 5.265 (5.477)
Train: [1][310/1040]	BT 0.196 (0.257)	DT 0.000 (0.004)	loss 5.204 (5.469)
Train: [1][320/1040]	BT 0.197 (0.255)	DT 0.000 (0.003)	loss 5.332 (5.465)
Train: [1][330/1040]	BT 0.196 (0.253)	DT 0.000 (0.003)	loss 5.255 (5.458)
Train: [1][340/1040]	BT 0.196 (0.251)	DT 0.000 (0.003)	loss 5.287 (5.451)
Train: [1][350/1040]	BT 0.197 (0.250)	DT 0.000 (0.003)	loss 5.302 (5.444)
Train: [1][360/1040]	BT 0.196 (0.248)	DT 0.000 (0.003)	loss 5.157 (5.437)
Train: [1][370/1040]	BT 0.197 (0.247)	DT 0.000 (0.003)	loss 5.039 (5.429)
Train: [1][380/1040]	BT 0.196 (0.245)	DT 0.000 (0.003)	loss 5.067 (5.421)
Train: [1][390/1040]	BT 0.196 (0.244)	DT 0.000 (0.003)	loss 5.066 (5.413)
Train: [1][400/1040]	BT 0.196 (0.243)	DT 0.000 (0.003)	loss 5.074 (5.405)
Train: [1][410/1040]	BT 0.196 (0.242)	DT 0.000 (0.003)	loss 5.297 (5.397)
Train: [1][420/1040]	BT 0.196 (0.241)	DT 0.000 (0.003)	loss 5.239 (5.390)
Train: [1][430/1040]	BT 0.196 (0.240)	DT 0.000 (0.003)	loss 5.038 (5.383)
Train: [1][440/1040]	BT 0.196 (0.239)	DT 0.000 (0.003)	loss 5.082 (5.378)
Train: [1][450/1040]	BT 0.196 (0.238)	DT 0.000 (0.002)	loss 4.909 (5.370)
Train: [1][460/1040]	BT 0.200 (0.237)	DT 0.000 (0.002)	loss 4.943 (5.364)
Train: [1][470/1040]	BT 0.198 (0.236)	DT 0.000 (0.002)	loss 4.908 (5.357)
Train: [1][480/1040]	BT 0.198 (0.235)	DT 0.000 (0.002)	loss 5.109 (5.351)
Train: [1][490/1040]	BT 0.197 (0.235)	DT 0.000 (0.002)	loss 4.997 (5.344)
Train: [1][500/1040]	BT 0.197 (0.234)	DT 0.000 (0.002)	loss 4.997 (5.338)
Train: [1][510/1040]	BT 0.196 (0.233)	DT 0.000 (0.002)	loss 4.827 (5.331)
Train: [1][520/1040]	BT 0.196 (0.232)	DT 0.000 (0.002)	loss 4.890 (5.324)
Train: [1][530/1040]	BT 0.196 (0.232)	DT 0.000 (0.002)	loss 4.986 (5.318)
Train: [1][540/1040]	BT 0.196 (0.231)	DT 0.000 (0.002)	loss 5.026 (5.312)
Train: [1][550/1040]	BT 0.196 (0.230)	DT 0.000 (0.002)	loss 5.029 (5.307)
Train: [1][560/1040]	BT 0.196 (0.230)	DT 0.000 (0.002)	loss 4.921 (5.300)
Train: [1][570/1040]	BT 0.196 (0.229)	DT 0.000 (0.002)	loss 4.904 (5.294)
Train: [1][580/1040]	BT 0.196 (0.229)	DT 0.000 (0.002)	loss 4.912 (5.288)
Train: [1][590/1040]	BT 0.196 (0.228)	DT 0.000 (0.002)	loss 5.027 (5.282)
Train: [1][600/1040]	BT 0.196 (0.227)	DT 0.000 (0.002)	loss 4.915 (5.277)
Train: [1][610/1040]	BT 0.196 (0.227)	DT 0.000 (0.002)	loss 4.939 (5.272)
Train: [1][620/1040]	BT 0.196 (0.226)	DT 0.000 (0.002)	loss 5.159 (5.266)
Train: [1][630/1040]	BT 0.197 (0.226)	DT 0.000 (0.002)	loss 4.939 (5.260)
Train: [1][640/1040]	BT 0.196 (0.226)	DT 0.000 (0.002)	loss 4.824 (5.255)
Train: [1][650/1040]	BT 0.196 (0.225)	DT 0.000 (0.002)	loss 4.888 (5.250)
Train: [1][660/1040]	BT 0.196 (0.225)	DT 0.000 (0.002)	loss 4.790 (5.243)
