pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline_200_epochs/last.pth
SimCore sampling starts!
100%|████████████████████████████████████████████████████████████████████████████████| 53/53 [01:03<00:00,  1.20s/it]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.67it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 5689 number of indices sampled from imagenet.
new epoch: 200
Train: [1][10/97]	BT 0.196 (2.762)	DT 0.000 (0.183)	loss 5.541 (5.600)
Train: [1][20/97]	BT 0.196 (1.479)	DT 0.000 (0.091)	loss 5.541 (5.571)
Train: [1][30/97]	BT 0.196 (1.051)	DT 0.000 (0.061)	loss 5.541 (5.561)
Train: [1][40/97]	BT 0.766 (0.878)	DT 0.572 (0.087)	loss 5.541 (5.556)
Train: [1][50/97]	BT 0.196 (0.760)	DT 0.000 (0.088)	loss 5.541 (5.553)
Train: [1][60/97]	BT 0.196 (0.732)	DT 0.000 (0.139)	loss 5.541 (5.551)
Train: [1][70/97]	BT 1.588 (0.714)	DT 1.390 (0.178)	loss 5.538 (5.549)
Train: [1][80/97]	BT 0.195 (0.689)	DT 0.000 (0.195)	loss 5.536 (5.548)
Train: [1][90/97]	BT 0.198 (0.638)	DT 0.000 (0.177)	loss 5.513 (5.546)
Train epoch 1, total time 80.41, loss 5.539
Train: [2][10/97]	BT 0.196 (0.551)	DT 0.000 (0.351)	loss 5.474 (5.483)
Train: [2][20/97]	BT 0.196 (0.402)	DT 0.000 (0.204)	loss 5.417 (5.463)
Train: [2][30/97]	BT 0.201 (0.334)	DT 0.000 (0.136)	loss 5.393 (5.443)
Train: [2][40/97]	BT 0.197 (0.494)	DT 0.000 (0.297)	loss 5.362 (5.422)
Train: [2][50/97]	BT 2.734 (0.486)	DT 2.535 (0.288)	loss 5.327 (5.402)
Train: [2][60/97]	BT 0.197 (0.548)	DT 0.000 (0.350)	loss 5.289 (5.391)
Train: [2][70/97]	BT 0.198 (0.599)	DT 0.000 (0.401)	loss 5.276 (5.380)
Train: [2][80/97]	BT 0.198 (0.549)	DT 0.000 (0.351)	loss 5.420 (5.365)
Train: [2][90/97]	BT 0.198 (0.532)	DT 0.000 (0.335)	loss 5.261 (5.355)
Train epoch 2, total time 49.27, loss 5.348
Train: [3][10/97]	BT 0.196 (0.724)	DT 0.000 (0.527)	loss 5.196 (5.298)
Train: [3][20/97]	BT 0.196 (0.516)	DT 0.000 (0.319)	loss 5.200 (5.297)
