pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 53/53 [01:21<00:00,  1.54s/it]
Finding the closest 333350 samples from imagenet ...
990it [02:04,  7.94it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 8133 number of indices sampled from imagenet.
new epoch: 200
Train: [1][10/116]	BT 0.412 (4.511)	DT 0.000 (0.124)	loss 5.541 (5.605)
Train: [1][20/116]	BT 0.409 (2.455)	DT 0.000 (0.062)	loss 5.541 (5.573)
Train: [1][30/116]	BT 0.409 (1.774)	DT 0.000 (0.041)	loss 5.541 (5.563)
Train: [1][40/116]	BT 0.412 (1.432)	DT 0.000 (0.031)	loss 5.541 (5.557)
Train: [1][50/116]	BT 0.404 (1.250)	DT 0.000 (0.048)	loss 5.541 (5.554)
Train: [1][60/116]	BT 0.413 (1.232)	DT 0.000 (0.162)	loss 5.541 (5.552)
Train: [1][70/116]	BT 0.410 (1.157)	DT 0.000 (0.181)	loss 5.541 (5.550)
Train: [1][80/116]	BT 0.407 (1.107)	DT 0.000 (0.202)	loss 5.540 (5.549)
Train: [1][90/116]	BT 0.410 (1.087)	DT 0.000 (0.237)	loss 5.541 (5.548)
Train: [1][100/116]	BT 3.581 (1.078)	DT 3.173 (0.271)	loss 5.539 (5.547)
Train: [1][110/116]	BT 0.412 (1.017)	DT 0.000 (0.247)	loss 5.539 (5.547)
Train epoch 1, total time 139.64, loss 5.544
Train: [2][10/116]	BT 0.412 (0.809)	DT 0.000 (0.398)	loss 5.531 (5.538)
Train: [2][20/116]	BT 0.411 (0.605)	DT 0.000 (0.199)	loss 5.533 (5.535)
Train: [2][30/116]	BT 0.412 (0.541)	DT 0.000 (0.133)	loss 5.493 (5.532)
Train: [2][40/116]	BT 0.412 (0.507)	DT 0.000 (0.100)	loss 5.444 (5.523)
Train: [2][50/116]	BT 0.413 (0.488)	DT 0.000 (0.080)	loss 5.524 (5.511)
Train: [2][60/116]	BT 0.405 (0.474)	DT 0.000 (0.066)	loss 5.407 (5.493)
Train: [2][70/116]	BT 0.420 (0.466)	DT 0.000 (0.057)	loss 5.304 (5.474)
Train: [2][80/116]	BT 0.411 (0.458)	DT 0.000 (0.050)	loss 5.199 (5.452)
Train: [2][90/116]	BT 0.412 (0.453)	DT 0.000 (0.044)	loss 5.452 (5.430)
Train: [2][100/116]	BT 0.409 (0.448)	DT 0.000 (0.040)	loss 5.281 (5.409)
Train: [2][110/116]	BT 0.407 (0.445)	DT 0.000 (0.036)	loss 5.195 (5.393)
Train epoch 2, total time 51.32, loss 5.378
Train: [3][10/116]	BT 0.413 (0.567)	DT 0.000 (0.156)	loss 5.158 (5.121)
Train: [3][20/116]	BT 0.414 (0.490)	DT 0.000 (0.078)	loss 5.132 (5.171)
Train: [3][30/116]	BT 0.412 (0.461)	DT 0.000 (0.052)	loss 5.115 (5.174)
Train: [3][40/116]	BT 0.412 (0.449)	DT 0.000 (0.039)	loss 5.275 (5.186)
Train: [3][50/116]	BT 0.408 (0.440)	DT 0.000 (0.031)	loss 5.119 (5.177)
Train: [3][60/116]	BT 0.422 (0.436)	DT 0.000 (0.026)	loss 5.039 (5.163)
Train: [3][70/116]	BT 0.412 (0.432)	DT 0.000 (0.022)	loss 5.106 (5.152)
Train: [3][80/116]	BT 0.411 (0.429)	DT 0.000 (0.020)	loss 4.999 (5.145)
Train: [3][90/116]	BT 0.404 (0.427)	DT 0.000 (0.017)	loss 5.183 (5.134)
Train: [3][100/116]	BT 0.411 (0.425)	DT 0.000 (0.016)	loss 5.042 (5.134)
Train: [3][110/116]	BT 0.417 (0.423)	DT 0.000 (0.014)	loss 5.091 (5.128)
Train epoch 3, total time 48.94, loss 5.125
Train: [4][10/116]	BT 0.412 (0.582)	DT 0.000 (0.212)	loss 4.950 (5.031)
Train: [4][20/116]	BT 0.407 (0.496)	DT 0.000 (0.106)	loss 5.142 (5.031)
Train: [4][30/116]	BT 0.407 (0.466)	DT 0.000 (0.071)	loss 4.958 (5.020)
Train: [4][40/116]	BT 0.405 (0.452)	DT 0.000 (0.053)	loss 5.109 (5.012)
Train: [4][50/116]	BT 0.421 (0.443)	DT 0.000 (0.043)	loss 4.937 (5.000)
Train: [4][60/116]	BT 0.411 (0.438)	DT 0.000 (0.036)	loss 4.991 (4.989)
Train: [4][70/116]	BT 0.408 (0.434)	DT 0.000 (0.030)	loss 4.940 (4.978)
Train: [4][80/116]	BT 0.410 (0.431)	DT 0.000 (0.027)	loss 4.973 (4.972)
Train: [4][90/116]	BT 0.417 (0.428)	DT 0.000 (0.024)	loss 4.859 (4.967)
Train: [4][100/116]	BT 0.412 (0.426)	DT 0.000 (0.021)	loss 4.869 (4.967)
Train: [4][110/116]	BT 0.412 (0.425)	DT 0.000 (0.019)	loss 4.828 (4.959)
Train epoch 4, total time 49.08, loss 4.954
Train: [5][10/116]	BT 0.414 (0.618)	DT 0.000 (0.229)	loss 4.762 (4.911)
Train: [5][20/116]	BT 0.411 (0.515)	DT 0.000 (0.114)	loss 4.872 (4.894)
Train: [5][30/116]	BT 0.420 (0.479)	DT 0.000 (0.076)	loss 5.085 (4.877)
Train: [5][40/116]	BT 0.412 (0.463)	DT 0.000 (0.057)	loss 4.870 (4.869)
Train: [5][50/116]	BT 0.410 (0.452)	DT 0.000 (0.046)	loss 4.890 (4.865)
Train: [5][60/116]	BT 0.419 (0.445)	DT 0.000 (0.038)	loss 4.857 (4.862)
Train: [5][70/116]	BT 0.410 (0.439)	DT 0.000 (0.033)	loss 4.897 (4.856)
Train: [5][80/116]	BT 0.405 (0.436)	DT 0.000 (0.029)	loss 4.837 (4.856)
Train: [5][90/116]	BT 0.412 (0.433)	DT 0.000 (0.026)	loss 4.771 (4.852)
Train: [5][100/116]	BT 0.410 (0.431)	DT 0.000 (0.023)	loss 4.829 (4.850)
Train: [5][110/116]	BT 0.419 (0.429)	DT 0.000 (0.021)	loss 4.840 (4.850)
Train epoch 5, total time 49.53, loss 4.844
Train: [6][10/116]	BT 0.411 (0.458)	DT 0.000 (0.139)	loss 4.744 (4.751)
Train: [6][20/116]	BT 0.415 (0.435)	DT 0.000 (0.070)	loss 4.853 (4.765)
Train: [6][30/116]	BT 0.412 (0.426)	DT 0.000 (0.046)	loss 4.786 (4.782)
Train: [6][40/116]	BT 0.412 (0.422)	DT 0.000 (0.035)	loss 4.796 (4.790)
Train: [6][50/116]	BT 0.395 (0.419)	DT 0.000 (0.028)	loss 4.706 (4.794)
Train: [6][60/116]	BT 0.410 (0.417)	DT 0.000 (0.023)	loss 4.658 (4.794)
Train: [6][70/116]	BT 0.355 (0.416)	DT 0.000 (0.020)	loss 4.844 (4.796)
Train: [6][80/116]	BT 0.420 (0.415)	DT 0.000 (0.017)	loss 4.802 (4.788)
Train: [6][90/116]	BT 0.414 (0.415)	DT 0.000 (0.016)	loss 4.869 (4.774)
Train: [6][100/116]	BT 0.409 (0.414)	DT 0.000 (0.014)	loss 4.578 (4.754)
Train: [6][110/116]	BT 0.420 (0.414)	DT 0.000 (0.013)	loss 4.499 (4.732)
Train epoch 6, total time 47.90, loss 4.716
Train: [7][10/116]	BT 0.414 (0.551)	DT 0.000 (0.150)	loss 4.285 (4.411)
Train: [7][20/116]	BT 0.409 (0.482)	DT 0.000 (0.075)	loss 4.252 (4.348)
Train: [7][30/116]	BT 0.412 (0.457)	DT 0.000 (0.050)	loss 4.212 (4.321)
Train: [7][40/116]	BT 0.412 (0.446)	DT 0.000 (0.038)	loss 4.273 (4.314)
Train: [7][50/116]	BT 0.351 (0.438)	DT 0.000 (0.030)	loss 4.269 (4.308)
Train: [7][60/116]	BT 0.410 (0.434)	DT 0.000 (0.025)	loss 4.018 (4.287)
Train: [7][70/116]	BT 0.373 (0.430)	DT 0.000 (0.022)	loss 4.006 (4.267)
Train: [7][80/116]	BT 0.410 (0.427)	DT 0.000 (0.019)	loss 4.140 (4.254)
Train: [7][90/116]	BT 0.419 (0.426)	DT 0.000 (0.017)	loss 4.146 (4.244)
Train: [7][100/116]	BT 0.412 (0.424)	DT 0.000 (0.015)	loss 3.996 (4.235)
Train: [7][110/116]	BT 0.409 (0.423)	DT 0.000 (0.014)	loss 3.954 (4.221)
Train epoch 7, total time 48.79, loss 4.212
Train: [8][10/116]	BT 0.381 (0.548)	DT 0.000 (0.146)	loss 3.955 (4.045)
Train: [8][20/116]	BT 0.410 (0.479)	DT 0.000 (0.073)	loss 3.995 (4.096)
Train: [8][30/116]	BT 0.340 (0.454)	DT 0.000 (0.049)	loss 4.057 (4.079)
Train: [8][40/116]	BT 0.409 (0.443)	DT 0.000 (0.037)	loss 3.857 (4.059)
Train: [8][50/116]	BT 0.409 (0.437)	DT 0.000 (0.029)	loss 4.256 (4.059)
Train: [8][60/116]	BT 0.412 (0.432)	DT 0.000 (0.024)	loss 3.805 (4.034)
Train: [8][70/116]	BT 0.412 (0.429)	DT 0.000 (0.021)	loss 3.975 (4.043)
Train: [8][80/116]	BT 0.412 (0.426)	DT 0.000 (0.018)	loss 4.078 (4.043)
Train: [8][90/116]	BT 0.412 (0.424)	DT 0.000 (0.016)	loss 3.774 (4.035)
Train: [8][100/116]	BT 0.413 (0.422)	DT 0.000 (0.015)	loss 4.017 (4.031)
Train: [8][110/116]	BT 0.412 (0.421)	DT 0.000 (0.013)	loss 4.021 (4.028)
Train epoch 8, total time 48.65, loss 4.024
Train: [9][10/116]	BT 0.406 (0.619)	DT 0.000 (0.214)	loss 3.889 (3.946)
Train: [9][20/116]	BT 0.420 (0.517)	DT 0.000 (0.107)	loss 3.876 (3.966)
Train: [9][30/116]	BT 0.411 (0.479)	DT 0.000 (0.071)	loss 3.851 (3.974)
Train: [9][40/116]	BT 0.410 (0.462)	DT 0.000 (0.054)	loss 3.945 (3.967)
Train: [9][50/116]	BT 0.393 (0.449)	DT 0.000 (0.043)	loss 3.980 (3.962)
Train: [9][60/116]	BT 0.420 (0.444)	DT 0.000 (0.036)	loss 3.861 (3.954)
Train: [9][70/116]	BT 0.288 (0.437)	DT 0.000 (0.031)	loss 3.708 (3.951)
Train: [9][80/116]	BT 0.413 (0.434)	DT 0.000 (0.027)	loss 3.797 (3.934)
Train: [9][90/116]	BT 0.412 (0.431)	DT 0.000 (0.024)	loss 3.879 (3.936)
Train: [9][100/116]	BT 0.412 (0.429)	DT 0.000 (0.022)	loss 4.130 (3.933)
Train: [9][110/116]	BT 0.412 (0.427)	DT 0.000 (0.020)	loss 3.693 (3.925)
Train epoch 9, total time 49.23, loss 3.921
Train: [10][10/116]	BT 0.337 (0.537)	DT 0.000 (0.133)	loss 4.010 (3.892)
Train: [10][20/116]	BT 0.412 (0.473)	DT 0.000 (0.066)	loss 3.804 (3.860)
Train: [10][30/116]	BT 0.412 (0.452)	DT 0.000 (0.044)	loss 3.736 (3.863)
Train: [10][40/116]	BT 0.413 (0.439)	DT 0.000 (0.033)	loss 3.832 (3.876)
Train: [10][50/116]	BT 0.419 (0.434)	DT 0.000 (0.027)	loss 3.737 (3.891)
Train: [10][60/116]	BT 0.412 (0.428)	DT 0.000 (0.022)	loss 3.570 (3.873)
Train: [10][70/116]	BT 0.406 (0.426)	DT 0.000 (0.019)	loss 3.574 (3.868)
Train: [10][80/116]	BT 0.413 (0.423)	DT 0.000 (0.017)	loss 3.894 (3.847)
Train: [10][90/116]	BT 0.413 (0.422)	DT 0.000 (0.015)	loss 3.726 (3.823)
Train: [10][100/116]	BT 0.410 (0.420)	DT 0.000 (0.013)	loss 3.606 (3.810)
Train: [10][110/116]	BT 0.417 (0.419)	DT 0.000 (0.012)	loss 3.408 (3.785)
Train epoch 10, total time 48.42, loss 3.769
Train: [11][10/116]	BT 0.412 (0.549)	DT 0.000 (0.135)	loss 3.305 (3.505)
Train: [11][20/116]	BT 0.412 (0.478)	DT 0.000 (0.068)	loss 3.309 (3.455)
Train: [11][30/116]	BT 0.412 (0.456)	DT 0.000 (0.045)	loss 3.414 (3.471)
Train: [11][40/116]	BT 0.411 (0.443)	DT 0.000 (0.034)	loss 3.457 (3.508)
Train: [11][50/116]	BT 0.418 (0.437)	DT 0.000 (0.027)	loss 3.636 (3.502)
Train: [11][60/116]	BT 0.412 (0.432)	DT 0.000 (0.023)	loss 3.377 (3.485)
Train: [11][70/116]	BT 0.410 (0.429)	DT 0.000 (0.019)	loss 3.639 (3.481)
Train: [11][80/116]	BT 0.413 (0.427)	DT 0.000 (0.017)	loss 3.295 (3.475)
Train: [11][90/116]	BT 0.417 (0.425)	DT 0.000 (0.015)	loss 3.416 (3.468)
Train: [11][100/116]	BT 0.412 (0.423)	DT 0.000 (0.014)	loss 3.532 (3.464)
Train: [11][110/116]	BT 0.412 (0.422)	DT 0.000 (0.012)	loss 3.208 (3.458)
Train epoch 11, total time 48.74, loss 3.451
Train: [12][10/116]	BT 0.383 (0.623)	DT 0.000 (0.215)	loss 3.317 (3.332)
Train: [12][20/116]	BT 0.411 (0.517)	DT 0.000 (0.108)	loss 3.649 (3.348)
Train: [12][30/116]	BT 0.368 (0.481)	DT 0.000 (0.072)	loss 3.340 (3.349)
Train: [12][40/116]	BT 0.407 (0.463)	DT 0.000 (0.054)	loss 3.349 (3.340)
Train: [12][50/116]	BT 0.422 (0.454)	DT 0.000 (0.043)	loss 3.280 (3.332)
Train: [12][60/116]	BT 0.412 (0.446)	DT 0.000 (0.036)	loss 3.284 (3.314)
Train: [12][70/116]	BT 0.409 (0.441)	DT 0.000 (0.031)	loss 3.266 (3.307)
Train: [12][80/116]	BT 0.405 (0.436)	DT 0.000 (0.027)	loss 3.255 (3.304)
Train: [12][90/116]	BT 0.411 (0.434)	DT 0.000 (0.024)	loss 3.295 (3.295)
Train: [12][100/116]	BT 0.410 (0.431)	DT 0.000 (0.022)	loss 3.042 (3.283)
Train: [12][110/116]	BT 0.412 (0.429)	DT 0.000 (0.020)	loss 3.127 (3.265)
Train epoch 12, total time 49.49, loss 3.259
Train: [13][10/116]	BT 0.335 (0.562)	DT 0.000 (0.158)	loss 3.054 (3.144)
Train: [13][20/116]	BT 0.412 (0.487)	DT 0.000 (0.079)	loss 3.157 (3.154)
Train: [13][30/116]	BT 0.403 (0.461)	DT 0.000 (0.053)	loss 3.237 (3.138)
Train: [13][40/116]	BT 0.406 (0.448)	DT 0.000 (0.040)	loss 2.954 (3.082)
Train: [13][50/116]	BT 0.420 (0.441)	DT 0.000 (0.032)	loss 3.042 (3.060)
Train: [13][60/116]	BT 0.409 (0.436)	DT 0.000 (0.026)	loss 2.825 (3.045)
Train: [13][70/116]	BT 0.421 (0.433)	DT 0.000 (0.023)	loss 2.725 (3.031)
Train: [13][80/116]	BT 0.412 (0.429)	DT 0.000 (0.020)	loss 2.792 (3.015)
Train: [13][90/116]	BT 0.412 (0.427)	DT 0.000 (0.018)	loss 2.925 (3.006)
Train: [13][100/116]	BT 0.412 (0.425)	DT 0.000 (0.016)	loss 2.941 (2.990)
Train: [13][110/116]	BT 0.412 (0.424)	DT 0.000 (0.014)	loss 3.124 (2.984)
Train epoch 13, total time 48.94, loss 2.978
Train: [14][10/116]	BT 0.411 (0.587)	DT 0.000 (0.179)	loss 2.687 (2.872)
Train: [14][20/116]	BT 0.413 (0.499)	DT 0.000 (0.090)	loss 2.757 (2.858)
Train: [14][30/116]	BT 0.393 (0.469)	DT 0.000 (0.060)	loss 2.760 (2.855)
Train: [14][40/116]	BT 0.411 (0.454)	DT 0.000 (0.045)	loss 2.679 (2.850)
Train: [14][50/116]	BT 0.370 (0.445)	DT 0.000 (0.036)	loss 2.691 (2.871)
Train: [14][60/116]	BT 0.411 (0.440)	DT 0.000 (0.030)	loss 2.903 (2.866)
Train: [14][70/116]	BT 0.412 (0.436)	DT 0.000 (0.026)	loss 2.617 (2.867)
Train: [14][80/116]	BT 0.412 (0.432)	DT 0.000 (0.023)	loss 2.773 (2.858)
Train: [14][90/116]	BT 0.412 (0.429)	DT 0.000 (0.020)	loss 2.775 (2.859)
Train: [14][100/116]	BT 0.411 (0.427)	DT 0.000 (0.018)	loss 2.608 (2.857)
Train: [14][110/116]	BT 0.407 (0.426)	DT 0.000 (0.016)	loss 3.010 (2.849)
Train epoch 14, total time 49.15, loss 2.839
Train: [15][10/116]	BT 0.359 (0.548)	DT 0.000 (0.141)	loss 2.869 (2.736)
Train: [15][20/116]	BT 0.405 (0.480)	DT 0.000 (0.071)	loss 2.874 (2.787)
Train: [15][30/116]	BT 0.377 (0.456)	DT 0.000 (0.047)	loss 2.906 (2.765)
Train: [15][40/116]	BT 0.411 (0.444)	DT 0.000 (0.035)	loss 2.760 (2.753)
Train: [15][50/116]	BT 0.417 (0.437)	DT 0.000 (0.028)	loss 2.994 (2.741)
Train: [15][60/116]	BT 0.412 (0.432)	DT 0.000 (0.024)	loss 2.764 (2.731)
Train: [15][70/116]	BT 0.409 (0.430)	DT 0.000 (0.020)	loss 2.831 (2.726)
Train: [15][80/116]	BT 0.405 (0.426)	DT 0.000 (0.018)	loss 2.522 (2.717)
Train: [15][90/116]	BT 0.420 (0.425)	DT 0.000 (0.016)	loss 2.790 (2.715)
Train: [15][100/116]	BT 0.412 (0.423)	DT 0.000 (0.014)	loss 2.868 (2.718)
Train: [15][110/116]	BT 0.409 (0.422)	DT 0.000 (0.013)	loss 2.787 (2.719)
Train epoch 15, total time 48.77, loss 2.715
Train: [16][10/116]	BT 0.411 (0.577)	DT 0.000 (0.174)	loss 2.508 (2.601)
Train: [16][20/116]	BT 0.415 (0.494)	DT 0.000 (0.087)	loss 2.816 (2.652)
Train: [16][30/116]	BT 0.344 (0.464)	DT 0.000 (0.058)	loss 2.464 (2.636)
Train: [16][40/116]	BT 0.412 (0.451)	DT 0.000 (0.044)	loss 2.587 (2.657)
Train: [16][50/116]	BT 0.415 (0.443)	DT 0.000 (0.035)	loss 2.923 (2.656)
Train: [16][60/116]	BT 0.412 (0.437)	DT 0.000 (0.029)	loss 2.844 (2.644)
Train: [16][70/116]	BT 0.412 (0.433)	DT 0.000 (0.025)	loss 2.504 (2.628)
Train: [16][80/116]	BT 0.405 (0.430)	DT 0.000 (0.022)	loss 2.577 (2.605)
Train: [16][90/116]	BT 0.420 (0.428)	DT 0.000 (0.019)	loss 2.622 (2.611)
Train: [16][100/116]	BT 0.412 (0.426)	DT 0.000 (0.017)	loss 2.431 (2.601)
Train: [16][110/116]	BT 0.411 (0.425)	DT 0.000 (0.016)	loss 2.269 (2.592)
Train epoch 16, total time 49.06, loss 2.582
Train: [17][10/116]	BT 0.412 (0.579)	DT 0.000 (0.172)	loss 2.387 (2.479)
Train: [17][20/116]	BT 0.412 (0.495)	DT 0.000 (0.086)	loss 2.352 (2.417)
Train: [17][30/116]	BT 0.396 (0.465)	DT 0.000 (0.057)	loss 2.318 (2.432)
Train: [17][40/116]	BT 0.410 (0.452)	DT 0.000 (0.043)	loss 2.313 (2.418)
Train: [17][50/116]	BT 0.358 (0.442)	DT 0.000 (0.035)	loss 2.312 (2.421)
Train: [17][60/116]	BT 0.408 (0.437)	DT 0.000 (0.029)	loss 2.480 (2.401)
Train: [17][70/116]	BT 0.411 (0.433)	DT 0.000 (0.025)	loss 2.133 (2.397)
